[train_cell] cell=qwen3_1_7b__sdar__search_qa__s42
[train_cell] model_id=Qwen/Qwen3-1.7B  baseline=sdar  seed=42
[train_cell] output_dir=/home/sww35/openresearch/runs/prj_09047604e591d969/code/outputs/prj_09047604e591d969-375eb3f2/qwen3_1_7b__sdar__search_qa__s42
[init] device=cuda  HAS_GPU=True  STEPS=150
[init] OUTPUT_DIR=/home/sww35/openresearch/runs/prj_09047604e591d969/code/outputs/prj_09047604e591d969-375eb3f2/qwen3_1_7b__sdar__search_qa__s42
[init] BETA=10.0  LAMBDA=0.1  CLIP_EPS=0.2  ALPHA_KL=0.01
Using the latest cached version of the dataset since nq_open couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'nq_open' at /home/sww35/openresearch/runs/.cache/hf/datasets/nq_open/nq_open/0.0.0/5dd9790a83002ad084ddeb7c420dc716852c6f28 (last modified on Fri May 29 16:34:02 2026).
[data] NQ-Open: loaded 256 examples
Using the latest cached version of the dataset since hotpotqa/hotpot_qa couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'distractor' at /home/sww35/openresearch/runs/.cache/hf/datasets/hotpotqa___hotpot_qa/distractor/0.0.0/1908d6afbbead072334abe2965f91bd2709910ab (last modified on Fri May 29 16:48:26 2026).
[data] HotpotQA: loaded 256 examples
[data] Total examples: 512
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(

============================================================
[train] qwen3_1_7b | SDAR | seed=42
  opsd_enabled=True  gate_type=sigmoid
  BETA=10.0  LAMBDA=0.1  CLIP_EPS=0.2  ALPHA_KL=0.01
============================================================
  Loading student Qwen/Qwen3-1.7B...
`torch_dtype` is deprecated! Use `dtype` instead!

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 63.06it/s]
  Student loaded. params=1.72B
  Loading teacher (frozen) Qwen/Qwen3-1.7B...

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 70.48it/s]
  Teacher loaded (frozen).
  Running zero-shot sanity check...
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
  [sanity] zero-shot F1=0.0245 over 16 examples
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
  [qwen3_1_7b|sdar] step=1/150 loss=0.0438  reward=0.0000  gate_active=0.000  gate_mag=0.500  t=3.4s
  [qwen3_1_7b|sdar] step=2/150 loss=0.0408  reward=0.0000  gate_active=0.535  gate_mag=0.515  t=3.1s
  [qwen3_1_7b|sdar] step=3/150 loss=0.0213  reward=0.0938  gate_active=0.458  gate_mag=0.513  t=3.0s
  [qwen3_1_7b|sdar] step=4/150 loss=0.0412  reward=0.0000  gate_active=0.550  gate_mag=0.509  t=2.9s
  [qwen3_1_7b|sdar] step=5/150 loss=0.0452  reward=0.0000  gate_active=0.167  gate_mag=0.462  t=3.0s
  [qwen3_1_7b|sdar] step=6/150 loss=0.0186  reward=0.0000  gate_active=0.272  gate_mag=0.474  t=2.9s
  [qwen3_1_7b|sdar] step=7/150 loss=0.0609  reward=0.8000  gate_active=0.199  gate_mag=0.456  t=3.0s
  [qwen3_1_7b|sdar] step=8/150 loss=0.0268  reward=0.0431  gate_active=0.455  gate_mag=0.484  t=2.9s
  [qwen3_1_7b|sdar] step=9/150 loss=0.0504  reward=0.0000  gate_active=0.290  gate_mag=0.468  t=3.0s
  [qwen3_1_7b|sdar] step=10/150 loss=0.0410  reward=0.0000  gate_active=0.286  gate_mag=0.469  t=2.9s
  [qwen3_1_7b|sdar] step=11/150 loss=0.0234  reward=0.0764  gate_active=0.481  gate_mag=0.473  t=3.0s
  [qwen3_1_7b|sdar] step=12/150 loss=0.0189  reward=0.0000  gate_active=0.420  gate_mag=0.466  t=3.0s
  [qwen3_1_7b|sdar] step=13/150 loss=0.0317  reward=0.0264  gate_active=0.163  gate_mag=0.424  t=3.1s
  [qwen3_1_7b|sdar] step=14/150 loss=0.0367  reward=0.0000  gate_active=0.219  gate_mag=0.447  t=3.1s
  [qwen3_1_7b|sdar] step=15/150 loss=0.0239  reward=0.0000  gate_active=0.273  gate_mag=0.420  t=3.0s
  [qwen3_1_7b|sdar] step=16/150 loss=0.0133  reward=0.0000  gate_active=0.170  gate_mag=0.437  t=3.0s
  [qwen3_1_7b|sdar] step=17/150 loss=0.0108  reward=0.0000  gate_active=0.316  gate_mag=0.471  t=3.1s
  [qwen3_1_7b|sdar] step=18/150 loss=0.0247  reward=0.0513  gate_active=0.328  gate_mag=0.444  t=3.0s
  [qwen3_1_7b|sdar] step=19/150 loss=0.0284  reward=0.0000  gate_active=0.144  gate_mag=0.444  t=3.0s
  [qwen3_1_7b|sdar] step=20/150 loss=0.0139  reward=0.0233  gate_active=0.250  gate_mag=0.435  t=3.2s
  [qwen3_1_7b|sdar] step=21/150 loss=0.0227  reward=0.0000  gate_active=0.262  gate_mag=0.434  t=2.9s
  [qwen3_1_7b|sdar] step=22/150 loss=0.0137  reward=0.0167  gate_active=0.402  gate_mag=0.472  t=2.9s
  [qwen3_1_7b|sdar] step=23/150 loss=0.0221  reward=0.0000  gate_active=0.288  gate_mag=0.436  t=2.9s
