[train_cell] cell=qwen2_5_3b__grpo__search_qa__s42
[train_cell] model_id=Qwen/Qwen2.5-3B-Instruct  baseline=grpo  seed=42
[train_cell] output_dir=/home/sww35/openresearch/runs/prj_09047604e591d969/code/outputs/prj_09047604e591d969-86fbb2d1/qwen2_5_3b__grpo__search_qa__s42
[init] device=cuda  HAS_GPU=True  STEPS=150
[init] OUTPUT_DIR=/home/sww35/openresearch/runs/prj_09047604e591d969/code/outputs/prj_09047604e591d969-86fbb2d1/qwen2_5_3b__grpo__search_qa__s42
[init] BETA=10.0  LAMBDA=0.1  CLIP_EPS=0.2  ALPHA_KL=0.01
Using the latest cached version of the dataset since nq_open couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'nq_open' at /home/sww35/openresearch/runs/.cache/hf/datasets/nq_open/nq_open/0.0.0/5dd9790a83002ad084ddeb7c420dc716852c6f28 (last modified on Fri May 29 16:34:02 2026).
[data] NQ-Open: loaded 256 examples
Using the latest cached version of the dataset since hotpotqa/hotpot_qa couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'distractor' at /home/sww35/openresearch/runs/.cache/hf/datasets/hotpotqa___hotpot_qa/distractor/0.0.0/1908d6afbbead072334abe2965f91bd2709910ab (last modified on Fri May 29 16:48:26 2026).
[data] HotpotQA: loaded 256 examples
[data] Total examples: 512
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(

============================================================
[train] qwen2_5_3b | GRPO | seed=42
  opsd_enabled=False  gate_type=ones
  BETA=10.0  LAMBDA=0.1  CLIP_EPS=0.2  ALPHA_KL=0.01
============================================================
  Loading student Qwen/Qwen2.5-3B-Instruct...
`torch_dtype` is deprecated! Use `dtype` instead!

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 46.04it/s]
  Student loaded. params=3.09B
  Running zero-shot sanity check...
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
  [sanity] zero-shot F1=0.0635 over 16 examples
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
  [qwen2_5_3b|grpo] step=1/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=3.0s
  [qwen2_5_3b|grpo] step=2/150 loss=0.0000  reward=0.6190  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=3/150 loss=0.0000  reward=0.5294  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=4/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=2.9s
  [qwen2_5_3b|grpo] step=5/150 loss=0.0000  reward=0.5000  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=6/150 loss=0.0000  reward=0.0374  gate_active=0.000  gate_mag=0.000  t=2.9s
  [qwen2_5_3b|grpo] step=7/150 loss=-0.0000  reward=0.0663  gate_active=0.000  gate_mag=0.000  t=2.9s
  [qwen2_5_3b|grpo] step=8/150 loss=0.0000  reward=0.2186  gate_active=0.000  gate_mag=0.000  t=2.9s
  [qwen2_5_3b|grpo] step=9/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=10/150 loss=0.0000  reward=0.0426  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=11/150 loss=0.0000  reward=0.1515  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=12/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=13/150 loss=0.0000  reward=0.0300  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=14/150 loss=0.0000  reward=0.0496  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=15/150 loss=0.0000  reward=0.0909  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=16/150 loss=-0.0000  reward=0.3079  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=17/150 loss=0.0000  reward=0.1549  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=18/150 loss=0.0000  reward=0.0588  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=19/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=20/150 loss=-0.0000  reward=0.0333  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=21/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=22/150 loss=0.0000  reward=0.0000  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=23/150 loss=0.0000  reward=0.1172  gate_active=0.000  gate_mag=0.000  t=2.8s
  [qwen2_5_3b|grpo] step=24/150 loss=0.0000  reward=0.0536  gate_active=0.000  gate_mag=0.000  t=2.9s
